category,page,number,priority,question,answer_sha256,rendered_question_sha256,rendered_answer_sha256,chosen_source,chosen_source_topic,source_ref,source_location,source_count,zhukov_popularity
java-core,docs/learn/java-core.md,1,high,Расскажи мне про контракт и свойства Equals & Hashcode,9f329706d8ee96b2f55a095b68c200e2bd6bb0f3bbc7e2ae60823d28459afcf6,9c69fe7fabb7c1063317128476df5a179d1839e4117d52042792763ce029ea7a,9f329706d8ee96b2f55a095b68c200e2bd6bb0f3bbc7e2ae60823d28459afcf6,zhukov,Java Core,data/tech-questions/fundamentals/java-core.toml,questions.id=1,1,19.8
java-core,docs/learn/java-core.md,2,high,Области памяти Java. Stack и heap. Что это такое?,35a9f183581e5d1826a81c95f1f5e59ccefc383c8c1931dd39add7e0a39df98b,e0c71f0ca5bda0b637bc54b7f632dc52ea9098735513d75be25b1599d38b27eb,fcf7adf315d85bda7484d379bb346a18419084ca52a50dc0edc425418899389b,zhukov,Java Core,data/tech-questions/fundamentals/java-core.toml,questions.id=13,1,15.84
java-core,docs/learn/java-core.md,3,high,Отличия интерфейса от абстрактных классов?,61d6ba2cd58431c0d3330dddec95939feec554e09ca612856ef158e072131725,642d1c44d14194782f80376a228fc6f4ff2dc732d2114412047db595c932aeba,e1274eb8822c9cdeb0f66ff9d5d95fe824a1d53830f0b204d018f269e769a0d4,zhukov,Java Core,data/tech-questions/fundamentals/java-core.toml,questions.id=31,1,14.52
java-core,docs/learn/java-core.md,4,high,Как работает GC?,9c373b88c61c95bbe8f8763e31760cfee82031202aca69512eb42ba921843e97,fff6820905fca5c6326a5d48d414657890d5ef90d578def342b6e6b68d348dc3,9c373b88c61c95bbe8f8763e31760cfee82031202aca69512eb42ba921843e97,zhukov,Java Core,data/tech-questions/fundamentals/java-core.toml,questions.id=11,1,13.86
java-core,docs/learn/java-core.md,5,high,Какой класс называют Immutable?,a13717e2dd773e7519aa6dcd55f569f0ef10d97a8f1d2dc7b16ac8da3f0a28b4,49164e76a1136cc281b3a3a9a8a42c0fb95e2ca541a84048c1ec95ab40b5f4c6,a13717e2dd773e7519aa6dcd55f569f0ef10d97a8f1d2dc7b16ac8da3f0a28b4,zhukov,Java Core,data/tech-questions/fundamentals/java-core.toml,questions.id=4,1,11.88
java-core,docs/learn/java-core.md,6,medium,Каков порядок вызова конструкторов и блоков инициализации с учетом иерархии классов?,a3bc89e44a4c02dd175456295ee886cf813656d4dec43f78c0aab5a5c7ca9373,29a6227148d9ac05ccf5e7569c5058a7afa56c5203c60cbdae148c71e05c8de0,a3bc89e44a4c02dd175456295ee886cf813656d4dec43f78c0aab5a5c7ca9373,zhukov,Java Core,data/tech-questions/fundamentals/java-core.toml,questions.id=32,3,1.65
java-core,docs/learn/java-core.md,7,medium,Зачем нужны и какие бывают блоки инициализации?,d65ee4df87dc870e5e564757a6639303883355f52eecfa69c49bebd9d10ff55c,049e98bdbc1539f2e5625019bb9340bb0dce3b8f46f2ac1c06c1b497e13f7e2c,d65ee4df87dc870e5e564757a6639303883355f52eecfa69c49bebd9d10ff55c,zhukov,Java Core,data/tech-questions/fundamentals/java-core.toml,questions.id=33,3,0.66
java-core,docs/learn/java-core.md,8,medium,Каким образом переменные передаются в методы — по значению или по ссылке?,950bdf3978e91e7ec6fd4e3cfe52826900c4c7d6959a7302c7a8158477ef95ba,42eccc601caf7c59d11f12460959e433a8ac925c7f373569812c8a2f7041948a,950bdf3978e91e7ec6fd4e3cfe52826900c4c7d6959a7302c7a8158477ef95ba,zhukov,Java Core,data/tech-questions/fundamentals/java-core.toml,questions.id=21,2,1.98
java-core,docs/learn/java-core.md,9,medium,В чем отличие между _поверхностным_ и _глубоким_ клонированием?,b0049468c70f55fc60b31fb139bb98091fef71300ce56c57e983f1c23ba57ea3,1d4545bf9d0e57f1be2159046750a6c7fc5823da99e4b390292d4c8e181ca4de,b0049468c70f55fc60b31fb139bb98091fef71300ce56c57e983f1c23ba57ea3,enhorse,Java Core,core.md,heading line 1332,2,0
java-core,docs/learn/java-core.md,10,medium,Возможно ли использование блока _try-finally_ (без `catch`)?,8a13ded9f573178261078e3430c0e7a9befcc7a345abc3a34b504aeb171f575e,5d75f430140c81b4ae07afaad48d96e4d5c4c2d73276757c7c0b86bc3c013082,8a13ded9f573178261078e3430c0e7a9befcc7a345abc3a34b504aeb171f575e,enhorse,Java Core,core.md,heading line 1475,2,0
java-core,docs/learn/java-core.md,11,medium,Для чего в Java используются статические блоки инициализации?,6f8a6c9138a26c53931a3e13ec399777fb9551e5ea4eb536edf3baf94ce61820,5b168395607fb2caad94959eb54c89f7e681c4cdc7bba897f8e34ffc1dd7414f,6f8a6c9138a26c53931a3e13ec399777fb9551e5ea4eb536edf3baf94ce61820,enhorse,Java Core,core.md,heading line 398,2,0
java-core,docs/learn/java-core.md,12,medium,Для чего нужен метод `hashCode()`?,94a04dc6480da7d7976fe81f83d7a8a5bed77683d8516280853e63ec0575b884,e30a065ee8bba55550af39364f45298165cd30594f9f0b225f6f0e444851eecc,94a04dc6480da7d7976fe81f83d7a8a5bed77683d8516280853e63ec0575b884,enhorse,Java Core,core.md,heading line 1254,2,0
java-core,docs/learn/java-core.md,13,medium,"Есть класс `Point{int x, y;}`. Почему хэш код в виде `31 * x + y` предпочтительнее чем `x + y`?",585be4d124adc5bb781cf3ae42368a687d30d2356fd9ccd5960bff65ec14b640,b1af64e6338369950883ecf2c23b82a98ace320fec07cf9aad8db4733a970a7b,585be4d124adc5bb781cf3ae42368a687d30d2356fd9ccd5960bff65ec14b640,enhorse,Java Core,core.md,heading line 1308,2,0
java-core,docs/learn/java-core.md,14,medium,"Есть ли какие-либо рекомендации о том, какие поля следует использовать при подсчете `hashCode()`?",0ee53a5caaa51c6e8b77a5c54d754606a575b6127ca9a6f5902f8bcbb7293385,890cefc99e51f51b854ac008d90d81779fa1e27dcbb81225ddb745fdea563edc,0ee53a5caaa51c6e8b77a5c54d754606a575b6127ca9a6f5902f8bcbb7293385,enhorse,Java Core,core.md,heading line 1263,2,0
java-core,docs/learn/java-core.md,15,medium,Зачем нужен `equals()`. Чем он отличается от операции `==`?,5590999471c0afee5c43e02b3c59502c4630d858174d79a2b5a4fdaf7ac81513,0ee7961cd3b6fcf4edc965671f805ed759a2214d998d9172a0fc92bbab1a75f0,5590999471c0afee5c43e02b3c59502c4630d858174d79a2b5a4fdaf7ac81513,enhorse,Java Core,core.md,heading line 1196,2,0
java-core,docs/learn/java-core.md,16,medium,"Какая основная разница между `String`, `StringBuffer`, `StringBuilder`?",c1ea21cafc23cd13b06ec91235a2ea70aab5a4ed55a56df461901245671edfe5,03f8bdff6d4a5986bd2d221340f3f251f19eed0b0719911c5bf00c499f940983,c1ea21cafc23cd13b06ec91235a2ea70aab5a4ed55a56df461901245671edfe5,enhorse,Java Core,core.md,heading line 1083,2,0
java-core,docs/learn/java-core.md,17,medium,Каким образом из вложенного класса получить доступ к полю внешнего класса?,1f55fd87d08542fdf427a7b6676e0d6e139560f9da3123172ca898bd92960473,3fbe1056b4fbe5fa79bdc0279e3f11d7a95861b37d73bf760dd2eaecd0dcbab3,1f55fd87d08542fdf427a7b6676e0d6e139560f9da3123172ca898bd92960473,enhorse,Java Core,core.md,heading line 631,2,0
